id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,input width,45,31,40,71,264,ship,baseline,monotonic-signal,raise-signal
m002,g002,search depth,40,13,4,97,368,ship,edge,drag-penalty,drop-slack
m003,g003,boundary pressure,89,23,36,40,374,ship,recovery,confidence-floor,raise-drag
m004,g004,complexity,73,60,22,35,416,ship,negative,lane-boundary,lower-confidence
m005,g005,input width,122,46,20,99,718,ship,baseline,monotonic-signal,raise-signal
m006,g006,search depth,48,66,42,43,284,ship,edge,drag-penalty,drop-slack
m007,g007,boundary pressure,63,60,40,63,378,ship,recovery,confidence-floor,raise-drag
m008,g008,complexity,74,54,9,21,419,ship,negative,lane-boundary,lower-confidence
m009,g009,input width,48,53,41,67,309,ship,baseline,monotonic-signal,raise-signal
m010,g010,search depth,69,9,16,88,422,ship,edge,drag-penalty,drop-slack
m011,g011,boundary pressure,88,76,12,103,674,ship,recovery,confidence-floor,raise-drag
m012,g012,complexity,57,72,43,16,275,ship,negative,lane-boundary,lower-confidence
m013,g013,input width,98,37,14,40,504,ship,baseline,monotonic-signal,raise-signal
m014,g014,search depth,108,46,30,93,620,ship,edge,drag-penalty,drop-slack
m015,g015,boundary pressure,77,35,46,81,402,ship,recovery,confidence-floor,raise-drag
m016,g016,complexity,109,26,45,23,399,ship,negative,lane-boundary,lower-confidence
m017,g017,input width,50,59,29,61,353,ship,baseline,monotonic-signal,raise-signal
m018,g018,search depth,98,32,22,35,460,ship,edge,drag-penalty,drop-slack
m019,g019,boundary pressure,42,38,48,27,154,watch,recovery,confidence-floor,raise-drag
m020,g020,complexity,106,38,10,57,584,ship,negative,lane-boundary,lower-confidence
m021,g021,input width,62,40,17,96,469,ship,baseline,monotonic-signal,raise-signal
m022,g022,search depth,74,0,43,39,245,ship,edge,drag-penalty,drop-slack
m023,g023,boundary pressure,44,31,23,47,263,ship,recovery,confidence-floor,raise-drag
m024,g024,complexity,33,9,25,85,245,ship,negative,lane-boundary,lower-confidence
m025,g025,input width,40,46,31,42,243,ship,baseline,monotonic-signal,raise-signal
m026,g026,search depth,33,11,14,62,236,ship,edge,drag-penalty,drop-slack
m027,g027,boundary pressure,38,47,14,33,270,ship,recovery,confidence-floor,raise-drag
m028,g028,complexity,44,27,5,53,321,ship,negative,lane-boundary,lower-confidence
m029,g029,input width,103,55,27,87,615,ship,baseline,monotonic-signal,raise-signal
m030,g030,search depth,35,25,18,102,340,ship,edge,drag-penalty,drop-slack
m031,g031,boundary pressure,53,29,43,28,197,ship,recovery,confidence-floor,raise-drag
m032,g032,complexity,77,28,26,26,338,ship,negative,lane-boundary,lower-confidence
m033,g033,input width,90,65,43,92,545,ship,baseline,monotonic-signal,raise-signal
m034,g034,search depth,42,40,32,80,312,ship,edge,drag-penalty,drop-slack
m035,g035,boundary pressure,114,12,35,35,445,ship,recovery,confidence-floor,raise-drag
m036,g036,complexity,66,65,41,47,365,ship,negative,lane-boundary,lower-confidence
m037,g037,input width,98,59,15,34,533,ship,baseline,monotonic-signal,raise-signal
m038,g038,search depth,104,47,24,26,490,ship,edge,drag-penalty,drop-slack
m039,g039,boundary pressure,115,25,37,69,537,ship,recovery,confidence-floor,raise-drag
m040,g040,complexity,80,11,14,82,464,ship,negative,lane-boundary,lower-confidence
m041,g041,input width,119,77,7,38,685,ship,baseline,monotonic-signal,raise-signal
m042,g042,search depth,41,31,26,46,240,ship,edge,drag-penalty,drop-slack
m043,g043,boundary pressure,98,62,44,97,578,ship,recovery,confidence-floor,raise-drag
